Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Classification
8/2/2018,2018,8,2,Thursday,30,2018-30,87.94,88.84,87.62,88.76,4306100,85.27,0.005893068,88.18857143,85.6082,RED
8/3/2018,2018,8,3,Friday,30,2018-30,89.19,90.28,89,89.6,5747200,86.08,0.009463681,88.32857143,85.74,RED
8/6/2018,2018,8,6,Monday,31,2018-31,89.31,89.98,89.13,89.67,4651600,86.15,0.000781247,88.43428571,85.8764,RED
8/7/2018,2018,8,7,Tuesday,31,2018-31,89.83,90.36,89.65,89.77,4526700,86.24,0.001115183,88.55571429,86.0226,RED
8/8/2018,2018,8,8,Wednesday,31,2018-31,89.97,90.23,89.37,90.05,5041100,86.51,0.003119154,88.72214286,86.1756,RED
8/9/2018,2018,8,9,Thursday,31,2018-31,89.46,89.63,88.76,89.01,4727900,86.01,-0.011549149,88.79,86.2734,RED
8/10/2018,2018,8,10,Friday,31,2018-31,88.7,90.37,88.65,90.18,8244900,87.14,0.01314457,88.97214286,86.4262,RED
8/13/2018,2018,8,13,Monday,32,2018-32,90.2,90.54,89.37,89.64,5879200,86.62,-0.005988034,89.09214286,86.5592,GREEN
8/14/2018,2018,8,14,Tuesday,32,2018-32,89.64,91.12,89.63,90.85,5836800,87.79,0.013498428,89.30285714,86.6678,GREEN
8/15/2018,2018,8,15,Wednesday,32,2018-32,90.25,90.41,89.67,90.22,8616900,87.18,-0.006934477,89.445,86.7798,GREEN
8/16/2018,2018,8,16,Thursday,32,2018-32,100.11,100.21,97.91,98.64,42631300,95.31,0.0933274,90.19571429,87.0614,GREEN
8/17/2018,2018,8,17,Friday,32,2018-32,97.77,99.67,97.61,97.85,16463300,94.55,-0.008008931,90.83642857,87.3194,GREEN
8/20/2018,2018,8,20,Monday,33,2018-33,97.67,98.29,95.95,96,12679300,92.76,-0.018906474,91.32,87.5522,RED
8/21/2018,2018,8,21,Tuesday,33,2018-33,95.96,96.36,95.36,96.08,10531300,92.84,0.000833352,91.88,87.7878,RED
8/22/2018,2018,8,22,Wednesday,33,2018-33,96.2,96.85,95.23,95.67,7765700,92.44,-0.004267315,92.37357143,88.0192,RED
8/23/2018,2018,8,23,Thursday,33,2018-33,95.5,95.86,95.06,95.18,6096400,91.97,-0.005121751,92.77214286,88.241,RED
8/24/2018,2018,8,24,Friday,33,2018-33,95.09,95.66,94.35,94.95,8594300,91.75,-0.002416509,93.14928571,88.4642,RED
8/27/2018,2018,8,27,Monday,34,2018-34,95.26,95.61,94.29,94.54,7040300,91.35,-0.00431802,93.49,88.681,GREEN
8/28/2018,2018,8,28,Tuesday,34,2018-34,94.77,96.35,94.53,96.07,9983000,92.83,0.016183613,93.92,88.9424,GREEN
8/29/2018,2018,8,29,Wednesday,34,2018-34,96.28,96.83,95.53,95.64,7862800,92.42,-0.004475906,94.39357143,89.183,GREEN
8/30/2018,2018,8,30,Thursday,34,2018-34,95.5,96.5,95.45,96.1,7058700,92.86,0.004809694,94.81642857,89.4328,GREEN
8/31/2018,2018,8,31,Friday,34,2018-34,96.19,96.44,95.11,95.86,6324700,92.63,-0.002497376,95.26071429,89.6658,GREEN
9/4/2018,2018,9,4,Tuesday,35,2018-35,95.8,96.27,95.24,95.36,8280700,92.14,-0.00521594,95.58285714,89.8766,GREEN
9/5/2018,2018,9,5,Wednesday,35,2018-35,95.67,96.83,95.36,96.62,9474600,93.36,0.01321311,96.04,90.0796,GREEN
9/6/2018,2018,9,6,Thursday,35,2018-35,96.53,96.72,96.01,96.45,6150800,93.2,-0.00175953,95.88357143,90.289,GREEN
9/7/2018,2018,9,7,Friday,35,2018-35,95.8,96.48,95.64,95.83,6672400,92.6,-0.006428151,95.73928571,90.4678,GREEN
9/10/2018,2018,9,10,Monday,36,2018-36,96.11,97.19,96.09,96.9,8332600,93.63,0.011165602,95.80357143,90.6886,RED
9/11/2018,2018,9,11,Tuesday,36,2018-36,97.27,97.66,96.49,96.64,6463500,93.38,-0.002683201,95.84357143,90.9084,RED
9/12/2018,2018,9,12,Wednesday,36,2018-36,96.26,96.74,95.93,95.97,5900000,92.73,-0.006932928,95.865,91.1478,RED
9/13/2018,2018,9,13,Thursday,36,2018-36,95.32,95.62,94.91,95.12,7652900,91.91,-0.008856918,95.86071429,91.3614,RED
