Year,Week_Number,mean_return,volatility,Abs_Diff,Classification
2019,30,-0.6476000000000001,0.6014767659685618,3.6199999999999903,RED
2019,31,-0.37639999999999996,1.8721814281740967,2.1200000000000045,RED
2019,32,1.0821999999999998,3.1955587461350166,5.709999999999994,RED
2019,33,-0.382,0.8844673538350638,2.1599999999999966,RED
2019,34,0.6126,0.4796804144427829,3.430000000000007,RED
2019,35,0.10525000000000001,0.7824092599145285,0.46999999999999886,RED
2019,36,0.46799999999999997,0.6522909626845983,2.700000000000003,RED
2019,37,-0.0734,0.9312117374689819,0.45000000000000284,RED
2019,38,0.2506,0.3408941184590899,1.4699999999999989,RED
2019,39,-0.04359999999999999,1.1434523601794697,0.29000000000000625,RED
2019,40,0.3518,0.7093607685797122,2.0799999999999983,RED
2019,41,-0.1824,0.5455225018273765,1.0999999999999943,RED
